Date,Open,Close,Volume,Target
2010-07-01,1.666667,1.464,123282000,1.28
2010-07-02,1.533333,1.28,77097000,1.074
2010-07-06,1.333333,1.074,103003500,1.053333
2010-07-07,1.093333,1.053333,103825500,1.164
2010-07-08,1.076,1.164,115671000,1.16
2010-07-09,1.172,1.16,60759000,1.136667
2010-07-12,1.196667,1.136667,33037500,1.209333
2010-07-13,1.159333,1.209333,40201500,1.322667
2010-07-14,1.196,1.322667,62928000,1.326
2010-07-15,1.329333,1.326,56097000,1.376
2010-07-16,1.38,1.376,39319500,1.460667
2010-07-19,1.424667,1.460667,37297500,1.353333
2010-07-20,1.456667,1.353333,27379500,1.348
2010-07-21,1.377333,1.348,18787500,1.4
2010-07-22,1.366667,1.4,14367000,1.419333
2010-07-23,1.412667,1.419333,9804000,1.396667
2010-07-26,1.433333,1.396667,13833000,1.37
2010-07-27,1.394,1.37,9295500,1.381333
2010-07-28,1.37,1.381333,7008000,1.356667
2010-07-29,1.384667,1.356667,9240000,1.329333
2010-07-30,1.346667,1.329333,6403500,1.394667
2010-08-02,1.366667,1.394667,10771500,1.463333
2010-08-03,1.4,1.463333,18457500,1.417333
2010-08-04,1.463333,1.417333,13695000,1.363333
2010-08-05,1.436,1.363333,11943000,1.306
2010-08-06,1.34,1.306,11128500,1.306667
2010-08-09,1.326667,1.306667,12190500,1.268667
2010-08-10,1.31,1.268667,19219500,1.193333
2010-08-11,1.246,1.193333,11964000,1.173333
2010-08-12,1.186667,1.173333,10365000,1.221333
2010-08-13,1.212,1.221333,9510000,1.252
2010-08-16,1.23,1.252,7287000,1.276667
2010-08-17,1.264,1.276667,6718500,1.251333
2010-08-18,1.306,1.251333,9019500,1.252667
2010-08-19,1.236,1.252667,8686500,1.273333
2010-08-20,1.243333,1.273333,4440000,1.342
2010-08-23,1.272667,1.342,16321500,1.28
2010-08-24,1.283333,1.28,10096500,1.326667
2010-08-25,1.277333,1.326667,7549500,1.316667
2010-08-26,1.326,1.316667,6507000,1.313333
2010-08-27,1.316667,1.313333,5694000,1.324667
2010-08-30,1.313333,1.324667,10992000,1.298667
2010-08-31,1.310667,1.298667,3016500,1.363333
2010-09-01,1.308,1.363333,7423500,1.404
2010-09-02,1.358,1.404,7306500,1.403333
2010-09-03,1.391333,1.403333,6519000,1.369333
2010-09-07,1.374,1.369333,3651000,1.393333
2010-09-08,1.377333,1.393333,4326000,1.380667
2010-09-09,1.4,1.380667,5643000,1.344667
2010-09-10,1.383333,1.344667,5799000,1.381333
2010-09-13,1.392667,1.381333,5412000,1.408
2010-09-14,1.369333,1.408,9820500,1.465333
2010-09-15,1.398667,1.465333,10269000,1.396
2010-09-16,1.476667,1.396,40267500,1.348667
2010-09-17,1.401333,1.348667,17977500,1.404
2010-09-20,1.378,1.404,14212500,1.384667
2010-09-21,1.392667,1.384667,11940000,1.324667
2010-09-22,1.391333,1.324667,14443500,1.304
2010-09-23,1.326,1.304,10021500,1.34
2010-09-24,1.33,1.34,8683500,1.368667
2010-09-27,1.36,1.368667,6279000,1.426667
2010-09-28,1.402667,1.426667,18217500,1.465333
2010-09-29,1.412667,1.465333,29539500,1.360667
2010-09-30,1.466667,1.360667,32937000,1.373333
2010-10-01,1.379333,1.373333,8965500,1.399333
2010-10-04,1.362,1.399333,9654000,1.408
2010-10-05,1.41,1.408,4980000,1.364
2010-10-06,1.404,1.364,4701000,1.362
2010-10-07,1.371333,1.362,2115000,1.362
2010-10-08,1.362,1.362,4017000,1.349333
2010-10-11,1.362667,1.349333,2568000,1.349333
2010-10-12,1.346667,1.349333,3660000,1.369333
2010-10-13,1.376,1.369333,4773000,1.383333
2010-10-14,1.4,1.383333,4422000,1.369333
2010-10-15,1.392667,1.369333,4270500,1.348667
2010-10-18,1.368,1.348667,2442000,1.336667
2010-10-19,1.346667,1.336667,3678000,1.376667
2010-10-20,1.344,1.376667,4687500,1.383333
2010-10-21,1.374,1.383333,6256500,1.381333
2010-10-22,1.378667,1.381333,2416500,1.39
2010-10-25,1.396,1.39,1777500,1.424
2010-10-26,1.386667,1.424,9913500,1.4
2010-10-27,1.416667,1.4,5347500,1.412667
2010-10-28,1.426,1.412667,3363000,1.456
2010-10-29,1.409333,1.456,4209000,1.427333
2010-11-01,1.462667,1.427333,6837000,1.416667
2010-11-02,1.445333,1.416667,4837500,1.451333
2010-11-03,1.418667,1.451333,5589000,1.66
2010-11-04,1.506667,1.66,28110000,1.629333
2010-11-05,1.658,1.629333,15165000,1.665333
2010-11-08,1.633333,1.665333,7642500,1.642
2010-11-09,1.666667,1.642,14346000,1.957333
2010-11-10,1.632,1.957333,45907500,1.869333
2010-11-11,1.906667,1.869333,29179500,1.989333
2010-11-12,1.883333,1.989333,40936500,2.053333
2010-11-15,2.014667,2.053333,39343500,1.978
2010-11-16,2.066667,1.978,20214000,1.966
2010-11-17,2.013333,1.966,11250000,1.992667
2010-11-18,2.044667,1.992667,14341500,2.066
2010-11-19,2.010667,2.066,17257500,2.226667
2010-11-22,2.104667,2.226667,22945500,2.304667
2010-11-23,2.219333,2.304667,23667000,2.364667
2010-11-24,2.351333,2.364667,21375000,2.354667
2010-11-26,2.373333,2.354667,5259000,2.288667
2010-11-29,2.360667,2.288667,17184000,2.355333
2010-11-30,2.249333,2.355333,33339000,2.29
2010-12-01,2.391333,2.29,19488000,2.156667
2010-12-02,2.267333,2.156667,30105000,2.099333
2010-12-03,2.134,2.099333,17401500,2.020667
2010-12-06,2.09,2.020667,19116000,2.104
2010-12-07,2.032667,2.104,19669500,2.158
2010-12-08,2.165333,2.158,9900000,2.136667
2010-12-09,2.167333,2.136667,6090000,2.101333
2010-12-10,2.136667,2.101333,6441000,2.036667
2010-12-13,2.109333,2.036667,6156000,1.902
2010-12-14,2.019333,1.902,26485500,1.973333
2010-12-15,1.911333,1.973333,11143500,2.054
2010-12-16,2.0,2.054,11851500,2.090667
2010-12-17,2.089333,2.090667,12195000,2.113333
2010-12-20,2.109333,2.113333,7851000,2.150667
2010-12-21,2.12,2.150667,11665500,2.175333
2010-12-22,2.15,2.175333,12499500,2.006
2010-12-23,2.084,2.006,23289000,1.703333
2010-12-27,1.868,1.703333,139528500,1.760667
2010-12-28,1.723333,1.760667,60844500,1.848667
2010-12-29,1.802,1.848667,49788000,1.766667
2010-12-30,1.846667,1.766667,30616500,1.775333
2010-12-31,1.771333,1.775333,21268500,1.774667
2011-01-03,1.789333,1.774667,19245000,1.778
2011-01-04,1.777333,1.778,17811000,1.788667
2011-01-05,1.765333,1.788667,21700500,1.858667
2011-01-06,1.788667,1.858667,30918000,1.882667
2011-01-07,1.866667,1.882667,33718500,1.896667
2011-01-10,1.878,1.896667,20140500,1.797333
2011-01-11,1.906,1.797333,25653000,1.797333
2011-01-12,1.800667,1.797333,14466000,1.748
2011-01-13,1.797333,1.748,10854000,1.716667
2011-01-14,1.743333,1.716667,17880000,1.709333
2011-01-18,1.698667,1.709333,24325500,1.602
2011-01-19,1.684667,1.602,35572500,1.508
2011-01-20,1.602,1.508,34198500,1.536
2011-01-21,1.541333,1.536,18255000,1.632667
2011-01-24,1.568667,1.632667,24676500,1.645333
2011-01-25,1.643333,1.645333,19072500,1.65
2011-01-26,1.647333,1.65,16198500,1.661333
2011-01-27,1.649333,1.661333,13435500,1.600667
2011-01-28,1.658667,1.600667,15726000,1.606667
2011-01-31,1.603333,1.606667,12454500,1.594
2011-02-01,1.620667,1.594,10617000,1.596
2011-02-02,1.610667,1.596,8542500,1.575333
2011-02-03,1.588,1.575333,7680000,1.564
2011-02-04,1.562667,1.564,8160000,1.538
2011-02-07,1.550667,1.538,13426500,1.632667
2011-02-08,1.585333,1.632667,52573500,1.547333
2011-02-09,1.608667,1.547333,39534000,1.548
2011-02-10,1.550667,1.548,12541500,1.55
2011-02-11,1.55,1.55,9517500,1.538667
2011-02-14,1.576,1.538667,19246500,1.522667
2011-02-15,1.534,1.522667,14305500,1.648667
2011-02-16,1.54,1.648667,61726500,1.573333
2011-02-17,1.642,1.573333,39276000,1.545333
2011-02-18,1.555333,1.545333,35560500,1.458
2011-02-22,1.525333,1.458,30969000,1.455333
2011-02-23,1.478667,1.455333,24084000,1.502
2011-02-24,1.452,1.502,15829500,1.574
2011-02-25,1.520667,1.574,20194500,1.592667
2011-02-28,1.582667,1.592667,15768000,1.596
2011-03-01,1.603333,1.596,16596000,1.601333
2011-03-02,1.588,1.601333,9949500,1.624
2011-03-03,1.632,1.624,9603000,1.663333
2011-03-04,1.632,1.663333,23701500,1.662667
2011-03-07,1.662,1.662667,30504000,1.644
2011-03-08,1.64,1.644,20998500,1.648
2011-03-09,1.644,1.648,13872000,1.600667
2011-03-10,1.629333,1.600667,15255000,1.604667
2011-03-11,1.59,1.604667,13962000,1.55
2011-03-14,1.588,1.55,17490000,1.53
2011-03-15,1.48,1.53,19782000,1.521333
2011-03-16,1.524,1.521333,17545500,1.520667
2011-03-17,1.549333,1.520667,13839000,1.530667
2011-03-18,1.546,1.530667,10318500,1.515333
2011-03-21,1.536667,1.515333,6175500,1.479333
2011-03-22,1.515333,1.479333,8743500,1.480667
2011-03-23,1.474,1.480667,6342000,1.488667
2011-03-24,1.476,1.488667,6933000,1.516667
2011-03-25,1.495333,1.516667,8520000,1.55
2011-03-28,1.513333,1.55,15871500,1.594667
2011-03-29,1.553333,1.594667,11331000,1.580667
2011-03-30,1.607333,1.580667,18349500,1.85
2011-03-31,1.77,1.85,172767000,1.777333
2011-04-01,1.83,1.777333,42972000,1.722
2011-04-04,1.788667,1.722,39139500,1.78
2011-04-05,1.726667,1.78,47713500,1.766
2011-04-06,1.799333,1.766,19324500,1.816
2011-04-07,1.79,1.816,42154500,1.766
2011-04-08,1.838667,1.766,29196000,1.684667
2011-04-11,1.764667,1.684667,20541000,1.643333
2011-04-12,1.672,1.643333,20361000,1.662
2011-04-13,1.675333,1.662,18172500,1.676
2011-04-14,1.658,1.676,14751000,1.705333
2011-04-15,1.71,1.705333,14152500,1.668667
2011-04-18,1.675333,1.668667,15508500,1.677333
2011-04-19,1.684,1.677333,8230500,1.716667
2011-04-20,1.713333,1.716667,12558000,1.782667
2011-04-21,1.723333,1.782667,20791500,1.759333
2011-04-25,1.78,1.759333,12013500,1.795333
2011-04-26,1.777333,1.795333,21000000,1.805333
2011-04-27,1.795333,1.805333,14953500,1.844
2011-04-28,1.804667,1.844,24000000,1.84
2011-04-29,1.846,1.84,10890000,1.83
2011-05-02,1.84,1.83,11769000,1.791333
2011-05-03,1.825333,1.791333,13708500,1.779333
2011-05-04,1.785333,1.779333,15667500,1.762667
2011-05-05,1.813333,1.762667,18277500,1.808
2011-05-06,1.793333,1.808,14725500,1.860667
2011-05-09,1.8,1.860667,13746000,1.888667
2011-05-10,1.882667,1.888667,23029500,1.804667
2011-05-11,1.88,1.804667,14437500,1.844667
2011-05-12,1.804667,1.844667,9420000,1.836667
2011-05-13,1.866667,1.836667,9922500,1.773333
2011-05-16,1.866,1.773333,11335500,1.730667
2011-05-17,1.8,1.730667,18513000,1.756667
2011-05-18,1.74,1.756667,10942500,1.88
2011-05-19,1.802,1.88,39826500,1.864667
2011-05-20,1.884,1.864667,12637500,1.788
2011-05-23,1.841333,1.788,12954000,1.781333
2011-05-24,1.801333,1.781333,9205500,1.932
2011-05-25,1.793333,1.932,70396500,1.965333
2011-05-26,1.921333,1.965333,50053500,1.97
2011-05-27,1.969333,1.97,25306500,2.009333
2011-05-31,1.979333,2.009333,49357500,1.901333
2011-06-01,2.0,1.901333,22948500,1.917333
2011-06-02,1.901333,1.917333,14794500,2.008667
2011-06-03,1.996667,2.008667,93138000,1.913333
2011-06-06,2.006667,1.913333,34966500,1.891333
2011-06-07,1.929333,1.891333,18331500,1.808
2011-06-08,1.896,1.808,25438500,1.841333
2011-06-09,1.828667,1.841333,24048000,1.857333
2011-06-10,1.834667,1.857333,23499000,1.895333
2011-06-13,1.871333,1.895333,25701000,1.906667
2011-06-14,1.902667,1.906667,23601000,1.821333
2011-06-15,1.896,1.821333,20175000,1.766667
2011-06-16,1.844667,1.766667,27633000,1.766667
2011-06-17,1.791333,1.766667,25710000,1.734
2011-06-20,1.752667,1.734,23067000,1.835333
